year,raw_column,standardized_column,eligible_rows,yes_rows,no_rows,missing_rows,invalid_rows,reported_pct,yes_pct_among_reported
2015,ARTRALGIA,joint_pain,33538,0,0,33538,0,0.0,
2015,ARTRITE,arthritis,33538,0,0,33538,0,0.0,
2015,CEFALEIA,headache,33538,0,0,33538,0,0.0,
2015,CONJUNTVIT,conjunctivitis,33538,0,0,33538,0,0.0,
2015,DOR_COSTAS,back_pain,33538,0,0,33538,0,0.0,
2015,DOR_RETRO,retro_orbital_pain,33538,0,0,33538,0,0.0,
2015,EXANTEMA,rash,33538,0,0,33538,0,0.0,
2015,FEBRE,fever,33538,0,0,33538,0,0.0,
2015,MIALGIA,myalgia,33538,0,0,33538,0,0.0,
2015,NAUSEA,nausea,33538,0,0,33538,0,0.0,
2015,PETEQUIA_N,petechiae,33538,0,0,33538,0,0.0,
2015,VOMITO,vomiting,33538,0,0,33538,0,0.0,
2016,ARTRALGIA,joint_pain,237772,0,0,237772,0,0.0,
2016,ARTRITE,arthritis,237772,0,0,237772,0,0.0,
2016,CEFALEIA,headache,237772,0,0,237772,0,0.0,
2016,CONJUNTVIT,conjunctivitis,237772,0,0,237772,0,0.0,
2016,DOR_COSTAS,back_pain,237772,0,0,237772,0,0.0,
2016,DOR_RETRO,retro_orbital_pain,237772,0,0,237772,0,0.0,
2016,EXANTEMA,rash,237772,0,0,237772,0,0.0,
2016,FEBRE,fever,237772,0,0,237772,0,0.0,
2016,MIALGIA,myalgia,237772,0,0,237772,0,0.0,
2016,NAUSEA,nausea,237772,0,0,237772,0,0.0,
2016,PETEQUIA_N,petechiae,237772,0,0,237772,0,0.0,
2016,VOMITO,vomiting,237772,0,0,237772,0,0.0,
2017,ARTRALGIA,joint_pain,225979,156621,69358,0,0,100.0,69.3078
2017,ARTRITE,arthritis,225979,52358,173621,0,0,100.0,23.1694
2017,CEFALEIA,headache,225979,165138,60841,0,0,100.0,73.0767
2017,CONJUNTVIT,conjunctivitis,225979,14512,211467,0,0,100.0,6.4218
2017,DOR_COSTAS,back_pain,225979,80803,145176,0,0,100.0,35.7569
2017,DOR_RETRO,retro_orbital_pain,225979,37416,188563,0,0,100.0,16.5573
2017,EXANTEMA,rash,225979,58961,167018,0,0,100.0,26.0914
2017,FEBRE,fever,225979,200683,25296,0,0,100.0,88.806
2017,MIALGIA,myalgia,225979,156583,69396,0,0,100.0,69.291
2017,NAUSEA,nausea,225979,69002,156977,0,0,100.0,30.5347
2017,PETEQUIA_N,petechiae,225979,18157,207822,0,0,100.0,8.0348
2017,VOMITO,vomiting,225979,42782,183197,0,0,100.0,18.9318
2018,ARTRALGIA,joint_pain,105249,73696,31553,0,0,100.0,70.0206
2018,ARTRITE,arthritis,105249,21975,83274,0,0,100.0,20.8791
2018,CEFALEIA,headache,105249,73174,32075,0,0,100.0,69.5247
2018,CONJUNTVIT,conjunctivitis,105249,7306,97943,0,0,100.0,6.9416
2018,DOR_COSTAS,back_pain,105249,33701,71548,0,0,100.0,32.0203
2018,DOR_RETRO,retro_orbital_pain,105249,21661,83588,0,0,100.0,20.5807
2018,EXANTEMA,rash,105249,27871,77378,0,0,100.0,26.481
2018,FEBRE,fever,105249,95044,10205,0,0,100.0,90.3039
2018,MIALGIA,myalgia,105249,80939,24310,0,0,100.0,76.9024
2018,NAUSEA,nausea,105249,32883,72366,0,0,100.0,31.2431
2018,PETEQUIA_N,petechiae,105249,6698,98551,0,0,100.0,6.364
2018,VOMITO,vomiting,105249,20599,84650,0,0,100.0,19.5717
2019,ARTRALGIA,joint_pain,149927,108667,41257,3,0,99.998,72.4814
2019,ARTRITE,arthritis,149927,27894,122030,3,0,99.998,18.6054
2019,CEFALEIA,headache,149927,99847,50077,3,0,99.998,66.5984
2019,CONJUNTVIT,conjunctivitis,149927,10227,139697,3,0,99.998,6.8215
2019,DOR_COSTAS,back_pain,149927,45380,104544,3,0,99.998,30.2687
2019,DOR_RETRO,retro_orbital_pain,149927,27555,122369,3,0,99.998,18.3793
2019,EXANTEMA,rash,149927,42655,107269,3,0,99.998,28.4511
2019,FEBRE,fever,149927,134934,14990,3,0,99.998,90.0016
2019,MIALGIA,myalgia,149927,110031,39893,3,0,99.998,73.3912
