model,label,precision,recall,f1-score,support
mlp,discarded,0.6987397366858453,0.8450698121695633,0.7649698221834504,484586.0
mlp,confirmed,0.7880593728474802,0.6125696154200624,0.6893206280850518,455718.0
mlp,macro avg,0.7433995547666628,0.7288197137948129,0.7271452251342512,940304.0
mlp,weighted avg,0.7420284666628613,0.7323886743010771,0.7283064671023979,940304.0
xgboost,discarded,0.7040143449127895,0.8466794335783535,0.7687842371584014,484586.0
xgboost,confirmed,0.7921872683689538,0.6214852167349106,0.6965300398284879,455718.0
xgboost,macro avg,0.7481008066408716,0.7340823251566321,0.7326571384934446,940304.0
xgboost,weighted avg,0.7467473209839286,0.737539136279331,0.7337662660567221,940304.0
lightgbm,discarded,0.7046158236672495,0.8457858873347559,0.7687738157427042,484586.0
lightgbm,confirmed,0.7916242600332932,0.6229751732431021,0.6972465122447501,455718.0
lightgbm,macro avg,0.7481200418502714,0.734380530288929,0.7330101639937272,940304.0
lightgbm,weighted avg,0.746784431483297,0.7378007537987714,0.7341081334787973,940304.0
ensemble,discarded,0.8284010555025308,0.5785247613426718,0.6812733367922109,484586.0
ensemble,confirmed,0.6606655402093748,0.8725703176086966,0.7519745084412423,455718.0
ensemble,macro avg,0.7445332978559529,0.7255475394756843,0.7166239226167266,940304.0
ensemble,weighted avg,0.7471080975247211,0.7210338358658477,0.7155386345486315,940304.0
