model,threshold,accuracy,balanced_accuracy,precision,recall,f1,predicted_positive_rate
Regressão Logística,0.05,0.5857648768085235,0.5000316883111304,0.5857556627171583,0.999990310922497,0.7387690046479667,0.9999640565409529
Regressão Logística,0.07,0.5859294600157394,0.5002717800081259,0.5858722354072274,0.9997900699874365,0.7388070476906462,0.9995648949694291
Regressão Logística,0.1,0.5892854440341425,0.5046926848431795,0.5880311172682571,0.9980008203418953,0.740029911761501,0.9941128397602761
Regressão Logística,0.15,0.6028512621829408,0.5240348684465876,0.5978431345606868,0.9836577559450564,0.7436897945230566,0.9637444003874327
Regressão Logística,0.2,0.6227242115140141,0.5550056735018865,0.6152581373943603,0.949910699002348,0.746807978498528,0.9043374296264907
Regressão Logística,0.25,0.6401038198438163,0.5871402612696742,0.6370740511953779,0.8960006717760403,0.7446718275228964,0.8238032719898299
Regressão Logística,0.3,0.6469917216538531,0.610724665050603,0.6593005609393533,0.8222183465912211,0.7318016859140658,0.7304808099763909
Regressão Logística,0.35,0.6430076729826261,0.6243921764924631,0.6815781886330053,0.7329496458642173,0.7063310877369898,0.6298883104304135
Regressão Logística,0.4,0.6288270325080211,0.628347633688553,0.7044258442195115,0.6311432788484208,0.6657740574370191,0.5248047702645439
Regressão Logística,0.45,0.6068220685271506,0.6241153796435019,0.7290029966793553,0.5232683196232887,0.6092356634008494,0.4204363157576124
Regressão Logística,0.5,0.5771762818572553,0.6107437529578998,0.7520059461452475,0.41499287852803535,0.5348370635221251,0.3232395272110903
Regressão Logística,0.55,0.5423016677764998,0.5904460961374274,0.7727170164071818,0.30968875453368083,0.44216647184006236,0.23475240631999517
Regressão Logística,0.6,0.5076105545129851,0.5681185569908583,0.7938801276859307,0.21526223488261684,0.3386884087981442,0.158824686724378
Regressão Logística,0.65,0.4766386433803499,0.5468661825530832,0.8166436198816932,0.13732975483404225,0.23512075090891496,0.09850021187723228
Regressão Logística,0.7,0.4506401719232399,0.5278812750379939,0.8347199498729418,0.07744479648092704,0.1417391252948096,0.05434461831830014
Regressão Logística,0.75,0.4321482081239785,0.5139397569790233,0.8518904435844001,0.03696706036618254,0.07085924417218932,0.025417700829348022
Regressão Logística,0.8,0.4207068375809674,0.5050916265915104,0.8672413793103448,0.012996282623931375,0.025608797614767063,0.008777771051516435
Regressão Logística,0.85,0.4155707064592288,0.5010515743080081,0.8871508379888268,0.0025643758457757236,0.005113969380591391,0.0016931260972213814
Regressão Logística,0.9,0.41431268539257826,0.5000412049538109,0.85,0.00010980954503321739,0.00021959072164615538,7.567044009927962e-05
Regressão Logística,0.95,0.41426539136751617,0.5000048445387515,1.0,9.689077502930946e-06,1.9377967251235345e-05,5.675283007445972e-06
Árvore de Decisão,0.05,0.6274460469762092,0.5614568120589963,0.6190507380190748,0.9462772949387489,0.748461211284408,0.8953591319087112
Árvore de Decisão,0.07,0.6592749258429687,0.6184852315645882,0.661579957233715,0.8563529666340468,0.7464703481088386,0.7581856498577396
Árvore de Decisão,0.1,0.6443905502754405,0.6151787932745102,0.666737026203902,0.7855290397801226,0.7212745766732896,0.6901011713784128
Árvore de Decisão,0.15,0.6497839608935165,0.6304599814733776,0.6854345274621833,0.7431490147823026,0.713125944291636,0.6350603850111992
Árvore de Decisão,0.2,0.6384542042496519,0.6325154060993265,0.7011231302376257,0.6671478908493123,0.6837136946628052,0.5573563018342514
Árvore de Decisão,0.25,0.6355333252618197,0.6401826278690028,0.7226424647573655,0.6130699196129537,0.6633619077905876,0.49692588837096674
Árvore de Decisão,0.3,0.6334958986621466,0.643103919734882,0.7339718482746368,0.5870741246725899,0.6523556169643898,0.4685097463526848
Árvore de Decisão,0.35,0.627994657666929,0.6535057136395407,0.7830522402268787,0.5047363440526828,0.6138195815045021,0.37755387735335066
Árvore de Decisão,0.4,0.6076903868272898,0.6422752431162431,0.799694001371718,0.4405914212907789,0.5681568294267579,0.32271361765240025
Árvore de Decisão,0.45,0.5952293571039409,0.6349217109956355,0.8102323288666347,0.4034531872220446,0.5386746585310637,0.2916679278406683
Árvore de Decisão,0.5,0.5852181578788063,0.6303452415150897,0.829793445733888,0.3671837404360731,0.5090935144199876,0.25919017495005753
Árvore de Decisão,0.55,0.5745997033718748,0.623819240235604,0.8423059215043254,0.3367923340018797,0.48118496643056546,0.23420568739027786
Árvore de Decisão,0.6,0.562923754464556,0.6163424110076617,0.8566177471614889,0.3048280673197105,0.4496484107020352,0.20843611901446818
Árvore de Decisão,0.65,0.5502394969429142,0.607069029114222,0.8636694796915791,0.27566394403588834,0.4179330302384852,0.18695517283128518
Árvore de Decisão,0.7,0.5318345541497669,0.5959939383167908,0.9130897151288766,0.2218443481996079,0.35696134118392947,0.1423115049337127
Árvore de Decisão,0.75,0.5116797324293239,0.5806356442311094,0.9360531084353673,0.17851479360650072,0.29984593518428104,0.11170659543555905
Árvore de Decisão,0.8,0.49456307887886675,0.567412900269726,0.9629419591249154,0.1425844645331318,0.24838947433567574,0.08673156668079182
Árvore de Decisão,0.85,0.4827622737453841,0.5576804023614169,0.9691881106014667,0.12079049953653913,0.2148091988880465,0.07300116532477753
Árvore de Decisão,0.9,0.46851352987468975,0.5458877055071296,0.9787972887241644,0.09467520597363925,0.17265059957123,0.056656350263333134
Árvore de Decisão,0.95,0.4543347811610872,0.5338920544153268,0.9785830471715163,0.06994868018615948,0.13056465687441787,0.04186845450693141
XGBoost,0.05,0.6597251649615594,0.5963973820129076,0.6385510520931882,0.9656974359471234,0.7687675797419666,0.8858303317392094
XGBoost,0.07,0.682040377746837,0.6283887702451103,0.6603690217502136,0.9412615824847316,0.776183957515487,0.8348889914643743
XGBoost,0.1,0.6975130909861372,0.6543460755546946,0.6819929891433822,0.9060773123790884,0.778225465298361,0.7781985895029966
XGBoost,0.15,0.7048550154367698,0.6751930065818911,0.7066769638960123,0.8481689258365711,0.770985015735826,0.7030181155033598
XGBoost,0.2,0.6957556450148314,0.6784985841211093,0.7229689433920421,0.7791342486281881,0.7500015544653572,0.631244703069193
XGBoost,0.25,0.688763696349658,0.6815389055776631,0.7394226993277916,0.7236707393089103,0.7314619249238564,0.57326222834312
XGBoost,0.3,0.6812893486288516,0.6828626134356977,0.7556859761620114,0.6736880181637906,0.7123350356949546,0.5221827895151038
XGBoost,0.35,0.671741630849325,0.6819037433861054,0.7727956002196683,0.6226427281858494,0.6896407401975339,0.4719319420061747
XGBoost,0.4,0.6596740874144924,0.6783326628925402,0.7909325774157666,0.569523975622281,0.6622116155537489,0.4217718990253647
XGBoost,0.45,0.6441294872570978,0.6710795830564786,0.8088189696800264,0.5139183598329603,0.6284950292478504,0.3721756008232944
XGBoost,0.5,0.6266628579211817,0.6615287263295283,0.8274021974945762,0.4582061641911074,0.5897920369157859,0.32437647557358196
XGBoost,0.55,0.6082276469519947,0.6502332770437536,0.8453801327180247,0.4052747337925956,0.5478908968654899,0.28080354440341426
XGBoost,0.6,0.5881901144137054,0.636774589311926,0.8621577972978296,0.3534510879219189,0.5013629221049931,0.24013068285005146
XGBoost,0.65,0.5676720745807857,0.6224010456977885,0.8800461144801343,0.3032455179942318,0.45106385022987233,0.20183387311580603
XGBoost,0.7,0.5473242932380895,0.6076253720720126,0.89886022115112,0.25597573854993266,0.39847461802605316,0.1668060263938495
XGBoost,0.75,0.5280775167988377,0.5931605210520483,0.9170999542448317,0.2136247807846215,0.34653045186640474,0.1364394787820086
XGBoost,0.8,0.5104330619286882,0.5796957935293243,0.9381226515908856,0.17578570344317518,0.2960899781038774,0.10975618984200013
XGBoost,0.85,0.4927015860524245,0.5658492929201964,0.9629133453904035,0.13928371879713333,0.24336510408731032,0.08472630001816091
XGBoost,0.9,0.46997396936860586,0.5471684581127305,0.9809268754694798,0.09700381426684365,0.176548732387743,0.057923830134996065
XGBoost,0.95,0.440757612446274,0.5225462896320747,0.9923374340949034,0.04559033934379108,0.08717562343292615,0.026910300260306313
LightGBM,0.05,0.6626233428173618,0.5993038180616914,0.6401156896018101,0.9685557138104881,0.7708071484934239,0.8862805708578001
LightGBM,0.07,0.6834932501967431,0.6298696166376536,0.6612215860817396,0.9425792970251302,0.7772208936303935,0.8349797959924935
LightGBM,0.1,0.7004055935589322,0.6576614418654826,0.6843008195263172,0.9069267215068453,0.7800401674477003,0.7763011532175071
LightGBM,0.15,0.7033359313517767,0.6755253144279534,0.7087860437662593,0.8377047221334056,0.7678719187176477,0.6922785882922695
LightGBM,0.2,0.6987067921787034,0.6830819390775797,0.7284670201935788,0.7741992784866952,0.7506372398589618,0.6225123342817361
LightGBM,0.25,0.6934382377867909,0.6877344298672939,0.7468618686936274,0.7209965539181015,0.7337013233508235,0.5654549306858768
LightGBM,0.3,0.6857860645317513,0.6891583504166918,0.7647636088616702,0.6694926476050215,0.713963925177636,0.512771278527756
LightGBM,0.35,0.6758070252436588,0.6877022832466315,0.7825587574085429,0.6183343183895461,0.6908206546546222,0.46281932925721897
LightGBM,0.4,0.6639097402990496,0.6840733280280016,0.8015244501514854,0.5664880646713626,0.6638156151837414,0.4139797354561414
LightGBM,0.45,0.6487870028452085,0.676720460581211,0.819164328192982,0.513824698750432,0.6315233743911782,0.3674083630970398
LightGBM,0.5,0.6313676675343544,0.666719996126914,0.8366747047330717,0.4605606100243196,0.5940933121695767,0.32242985350202796
LightGBM,0.55,0.6127508475089292,0.6549653737265465,0.8539468357846445,0.40878863923365855,0.5529008598942442,0.2803968157878806
LightGBM,0.6,0.5926868303166051,0.6413109478186245,0.8706769163050997,0.35775626802572125,0.5071340113677203,0.24067740177976876
LightGBM,0.65,0.5729160360796658,0.6274562831510804,0.8892426506762213,0.3094013119010939,0.4590735052401056,0.20380130455838733
LightGBM,0.7,0.5529522822204734,0.612995054176811,0.9097677122224955,0.26285175388451265,0.40786298658180586,0.1692331557600339
LightGBM,0.75,0.5334728191779163,0.5982466830459106,0.928471381753403,0.2205137148892054,0.3563852553997766,0.13911442883951813
LightGBM,0.8,0.5153516405351414,0.5842700665399235,0.9491041113389586,0.18236781676016625,0.30594845592637643,0.11254842908166354
LightGBM,0.85,0.49716614201828196,0.5698087274958529,0.9691882748431578,0.1461888013642221,0.25405663289647235,0.0883509140989164
LightGBM,0.9,0.47397504388885525,0.5506239653445417,0.983933280186423,0.10364083235635135,0.18752867131641154,0.061697893334947636
LightGBM,0.95,0.44316960772443853,0.5246192561956574,0.9943071548712641,0.049640373740016216,0.09455988433794238,0.02924284157636661
